system,reference,model,domain,metric,value
tep,history_mean,mlp_s123,actuation_idv14,grid_mean,1.1815083660403283
tep,history_mean,mlp_s123,actuation_idv14,grid_min,0.9724506027210388
tep,history_mean,mlp_s123,actuation_idv14,normalized_trapezoid,1.04206280229765
tep,history_mean,mlp_s2024,actuation_idv14,grid_mean,1.1758591857439635
tep,history_mean,mlp_s2024,actuation_idv14,grid_min,0.9733930748693471
tep,history_mean,mlp_s2024,actuation_idv14,normalized_trapezoid,1.039558320114903
tep,history_mean,mlp_s31337,actuation_idv14,grid_mean,1.1839052770111456
tep,history_mean,mlp_s31337,actuation_idv14,grid_min,0.9696716918671442
tep,history_mean,mlp_s31337,actuation_idv14,normalized_trapezoid,1.0415183282181508
tep,history_mean,mlp_s42,actuation_idv14,grid_mean,1.1759298835354477
tep,history_mean,mlp_s42,actuation_idv14,grid_min,0.9685195020528841
tep,history_mean,mlp_s42,actuation_idv14,normalized_trapezoid,1.0384597244169251
tep,history_mean,mlp_s7,actuation_idv14,grid_mean,1.1735941761940965
tep,history_mean,mlp_s7,actuation_idv14,grid_min,0.9701826607580653
