"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid","panel","x"
"mbr","Persistence","GRU (seed 42)","obs_noise",0.2,2.42914028978361,2.16309622245046,2.72936529699916,162.736645087742,66.9935144430208,72,"MBR: observation noise",0.2
"mbr","Persistence","GRU (seed 42)","obs_noise",0.25,2.1955344406361,1.96573032339044,2.46482108114913,170.525160257892,77.6690891756114,72,"MBR: observation noise",0.25
"mbr","Persistence","GRU (seed 42)","obs_noise",0.3,2.01528569382178,1.81115230241438,2.25599913628791,178.824403410999,88.7340211659405,72,"MBR: observation noise",0.3
"mbr","Persistence","GRU (seed 42)","obs_noise",0.4,1.76110052027884,1.59741076926683,1.96592699056651,196.576278280734,111.621270913945,72,"MBR: observation noise",0.4
"mbr","Persistence","GRU (seed 42)","obs_noise",0.5,1.59426553474646,1.45861196497524,1.76621996910984,215.480774460811,135.159902641363,72,"MBR: observation noise",0.5
"mbr","Persistence","GRU (seed 42)","obs_noise",0.6,1.47841896152746,1.3633403166603,1.6267436121287,235.243186755687,159.118080109471,72,"MBR: observation noise",0.6
"mbr","Persistence","GRU (seed 42)","obs_noise",0.8,1.33110395420633,1.24324368668454,1.44580312824875,276.631201282503,207.82088461862,72,"MBR: observation noise",0.8
"mbr","Persistence","GRU (seed 42)","obs_noise",1,1.24364297558848,1.17395313049687,1.33688043540054,319.786730405323,257.137085709027,72,"MBR: observation noise",1
"mbr","Persistence","Ridge","obs_noise",0,1.56778314637697,1.27593735353146,1.89669040529183,142.573737473792,90.9397054071348,72,"MBR: observation noise",0
"mbr","Persistence","Ridge","obs_noise",0.005,1.56894344489102,1.27686455520019,1.89771107592886,142.622750076161,90.9036909778908,72,"MBR: observation noise",0.005
"mbr","Persistence","Ridge","obs_noise",0.01,1.56968025945137,1.27766788725739,1.89817865666575,142.718809461596,90.9222171854787,72,"MBR: observation noise",0.01
"mbr","Persistence","Ridge","obs_noise",0.015,1.5699559386954,1.2782982765102,1.8980031733142,142.857903933512,90.9948492262931,72,"MBR: observation noise",0.015
"mbr","Persistence","Ridge","obs_noise",0.02,1.56974258659702,1.27871014922234,1.89720901247612,143.03599199232,91.1206673078808,72,"MBR: observation noise",0.02
"mbr","Persistence","Ridge","obs_noise",0.03,1.567805751237,1.27863080531948,1.89351064436305,143.49611533062,91.5267182923662,72,"MBR: observation noise",0.03
"mbr","Persistence","Ridge","obs_noise",0.04,1.56387667453198,1.27680448020214,1.88635064464675,144.07841022426,92.1290102797767,72,"MBR: observation noise",0.04
"mbr","Persistence","Ridge","obs_noise",0.05,1.5580436244775,1.27247557526184,1.87716140616168,144.76773547156,92.9163556123847,72,"MBR: observation noise",0.05
"mbr","Persistence","Ridge","obs_noise",0.07,1.54116161307501,1.26455237531315,1.85354300584178,146.421537623794,95.0072571115013,72,"MBR: observation noise",0.07
"mbr","Persistence","Ridge","obs_noise",0.09,1.5183288626965,1.24994926727745,1.82158916692451,148.382997575672,97.7278382972642,72,"MBR: observation noise",0.09
"mbr","Persistence","Ridge","obs_noise",0.12,1.47604596201807,1.22115784662229,1.76293292582714,151.784997407812,102.83216194724,72,"MBR: observation noise",0.12
"mbr","Persistence","Ridge","obs_noise",0.16,1.41198985517628,1.17564714716551,1.67799861001108,156.979571780709,111.176132891628,72,"MBR: observation noise",0.16
"mbr","Persistence","Ridge","obs_noise",0.2,1.34663974490097,1.13418830644898,1.59034651161655,162.736645087742,120.846459273122,72,"MBR: observation noise",0.2
