"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid"
"tep","persistence","GRU (seed 42)","Observation bias",0.02,2.03541821283066,1.94401303902009,2.1300613254291,1.30929866917476,0.643257813515341,80
"tep","persistence","GRU (seed 42)","Observation bias",0.05,2.03174287156227,1.94070259535778,2.12627509668478,1.31020360984976,0.644866842250713,80
"tep","persistence","GRU (seed 42)","Observation bias",0.08,2.02596473647418,1.93449683480614,2.11983139004693,1.31180457242861,0.6474962514459,80
"tep","persistence","GRU (seed 42)","Observation bias",0.12,2.01517807186175,1.92428960121223,2.10818342557713,1.31501739276542,0.652556422247352,80
"tep","persistence","GRU (seed 42)","Observation bias",0.18,1.99309304547574,1.90311512175785,2.08493238212902,1.32212714141709,0.663354450219107,80
"tep","persistence","GRU (seed 42)","Observation bias",0.25,1.96003935774651,1.8719424101983,2.04951440310961,1.33383874373003,0.680516306194775,80
"tep","persistence","GRU (seed 42)","Observation bias",0.35,1.90370920269348,1.81967692497481,1.99123183354618,1.35675467318569,0.71269008484388,80
"tep","persistence","GRU (seed 42)","Observation bias",0.5,1.81130805737155,1.73478526504055,1.88978634847544,1.40397581345868,0.775117080578792,80
"tep","persistence","GRU (seed 42)","Observation bias",0.7,1.69397564203058,1.62886749099305,1.76297631170621,1.48840243007155,0.878644528965827,80
"tep","persistence","GRU (seed 42)","Observation bias",1,1.55283575055862,1.50212732000893,1.60626722308031,1.65273980137305,1.06433652160474,80
"tep","persistence","GRU (seed 42)","Observation bias",1.3,1.45277776566342,1.410968120663,1.4956233030489,1.85120070574296,1.27424906237988,80
"tep","persistence","GRU (seed 42)","Observation bias",1.6,1.38363006835797,1.34771681941547,1.41981027650489,2.07397254173675,1.49893572651109,80
"tep","persistence","GRU (seed 42)","Observation bias",2,1.32296928598507,1.29329620639991,1.35318733164989,2.39708415333551,1.81189705515398,80
"tep","persistence","MLP (seed 42)","Observation bias",0,1.95800270873718,1.86870827185138,2.05324913627536,1.30908275274108,0.668580664827259,80
"tep","persistence","MLP (seed 42)","Observation bias",0.02,1.95723274537829,1.86826749104887,2.05302679962108,1.30929866917476,0.668953997559292,80
"tep","persistence","MLP (seed 42)","Observation bias",0.05,1.95448566596036,1.86554391599734,2.04929641507298,1.31020360984976,0.670357236519295,80
"tep","persistence","MLP (seed 42)","Observation bias",0.08,1.94966718473189,1.86079382102211,2.0429713508979,1.31180457242861,0.67283512935004,80
"tep","persistence","MLP (seed 42)","Observation bias",0.12,1.94050148962728,1.85218025624317,2.03187386668625,1.31501739276542,0.677668839624544,80
"tep","persistence","MLP (seed 42)","Observation bias",0.18,1.92155560835738,1.83423673973324,2.01086927042297,1.32212714141709,0.688050418976576,80
"tep","persistence","MLP (seed 42)","Observation bias",0.25,1.89195972666524,1.80623057764517,1.97990573755942,1.33383874373003,0.705003771978304,80
"tep","persistence","MLP (seed 42)","Observation bias",0.35,1.83910967375649,1.75677546382929,1.92512754169709,1.35675467318569,0.737723634727255,80
"tep","persistence","MLP (seed 42)","Observation bias",0.5,1.74847854999342,1.67290110814045,1.82707808163134,1.40397581345868,0.802969995522086,80
"tep","persistence","MLP (seed 42)","Observation bias",0.7,1.62808225469574,1.56253526326149,1.69694601017762,1.48840243007155,0.914205916672006,80
"tep","persistence","MLP (seed 42)","Observation bias",1,1.47993425168036,1.42568860109451,1.53646571505831,1.65273980137305,1.11676569381138,80
"tep","persistence","MLP (seed 42)","Observation bias",1.3,1.37385775246217,1.32906593251277,1.42168918693899,1.85120070574296,1.34744714467369,80
"tep","persistence","MLP (seed 42)","Observation bias",1.6,1.30003501805468,1.26266603841824,1.33954972575848,2.07397254173675,1.5953205205504,80
"tep","persistence","MLP (seed 42)","Observation bias",2,1.23500300782271,1.20461550894835,1.26721904348415,2.39708415333551,1.94095410144914,80
